地名,センター,燃やすごみ,燃やさないごみ,資源ごみ,資源の日
井原（猪原・清迫・向町・新町）,井原クリーンセンター,月 木,金2 金5,金1 金3 金4,土2
井原（本町・中町・十二神）,井原クリーンセンター,月 木,金2 金5,金1 金3 金4,土2
七日市,井原クリーンセンター,月 木,金2 金5,金1 金3 金4,土2
西江原（賀山・藤の木を除く）,井原クリーンセンター,月 木,金2 金5,金1 金3 金4,土2
東江原（有年・尾部を除く）,井原クリーンセンター,月 木,金2 金5,金1 金3 金4,土2
神代,井原クリーンセンター,月 木,金2 金5,金1 金3 金4,土2
西方（西方住宅・向山）,井原クリーンセンター,月 木,金2 金5,金1 金3 金4,土2
井原（下町・倉掛・夏目）,井原クリーンセンター,火 金,水2 水5,水1 水3 水4,土2
高屋（こだま園以南の全域）,井原クリーンセンター,火 金,水2 水5,水1 水3 水4,土2
上出部（四季が丘団地）,井原クリーンセンター,火 金,水2 水5,水1 水3 水4,土2
下出部,井原クリーンセンター,火 金,水2 水5,水1 水3 水4,土2
笹賀 ,井原クリーンセンター,火 金,水2 水5,水1 水3 水4,土2
高屋（こだま園から北の全域）,井原クリーンセンター,火,水2,水1,土2
高屋（銀山・西山・宮賀・寺中）,井原クリーンセンター,火,水2,水1,土2
木之子,井原クリーンセンター,月 木,金2 金5,金1 金3 金4,土2
西江原（賀山）,井原クリーンセンター,月 木,水2 水5,水1 水3 水4,土2
東江原（有年・尾部）,井原クリーンセンター,月 木,水2 水5,水1 水3 水4,土2
門田,井原クリーンセンター,月 木,水2 水5,水1 水3 水4,土2
西方（西方住宅・向山を除く）,井原クリーンセンター,月 木,水2 水5,水1 水3 水4,土2
西江原（藤の木）,井原クリーンセンター,木,水2,水1,土2
大江（山王・山田・滝山を除く）,井原クリーンセンター,火 金,月2 月5,月1 月3 月4,土2
上稲木（采山を除く）,井原クリーンセンター,火 金,月2 月5,月1 月3 月4,土2
下稲木,井原クリーンセンター,火 金,月2 月5,月1 月3 月4,土2
岩倉,井原クリーンセンター,火 金,月2 月5,月1 月3 月4,土2
大江（山王・山田・滝山）,井原クリーンセンター,火,月2,月1,土2
上稲木（采山）,井原クリーンセンター,火,月2,月1,土2
青野,井原クリーンセンター,月 木,水2 水5,水1 水3 水4,
北山,井原クリーンセンター,月 木,水2 水5,水1 水3 水4,
稗原,井原クリーンセンター,月 木,水2 水5,水1 水3 水4,
野上,井原クリーンセンター,月 木,水2 水5,水1 水3 水4,
野上（福良・大焼・余次）,井原クリーンセンター,月 木,水2,水1,
野上（毘沙門）,井原クリーンセンター,木,金2 金5,金1 金3 金4,
梶江,井原クリーンセンター,月 木,水1,水2 水4,土2
簗瀬,井原クリーンセンター,月 木,水1,水2 水4,土2
与井,井原クリーンセンター,月 木,水1,水2 水4,土2
川相,井原クリーンセンター,月 木,水1,水2 水4,土2
山村,井原クリーンセンター,月 木,水1,水2,土2
下鴫,井原クリーンセンター,月 木,水1,水2,土2
上鴫南部（上鴫コミュニティハウス前まで）,井原クリーンセンター,月 木,水1,水2,土2
宇戸川（峠村・北畦を除く）,井原クリーンセンター,月 木,水3,水2 水4,土2
佐原,井原クリーンセンター,月 木,水3,水2 水4,土2
東吉井,井原クリーンセンター,月 木,水3,水2 水4,土2
西吉井,井原クリーンセンター,月 木,水3,水2 水4,土2
花滝（名越を除く）,井原クリーンセンター,月 木,水3,水2,土2
種,井原クリーンセンター,月 木,水3,水2,土2
上鴫北部（日南停留所横から）,井原クリーンセンター,木,水1,水2,土2
東三原,井原クリーンセンター,木,水1,水2,土2
西三原,井原クリーンセンター,木,水1,水2,土2
峠村,井原クリーンセンター,木,水1,水2,土2
仁郷,井原クリーンセンター,木,水1,水2,土2
北畦,井原クリーンセンター,木,水3,水2,土2
上野,井原クリーンセンター,木,水3,水2,土2
天神山,井原クリーンセンター,木,水3,水2,土2
名越,井原クリーンセンター,木,水3,水2,土2
佐屋,井原クリーンセンター,木,水3,水2,土2
池谷,井原クリーンセンター,木,水3,水2,土2
井山（仁郷を除く）,井原クリーンセンター,木,水3,水2,土2
片塚,井原クリーンセンター,木,水3,水2,土2
三山（八幡・西町東町を除く）,井原クリーンセンター,火,月2,月2 月4,土2
大倉,井原クリーンセンター,火,月2,月2 月4,土2
宇戸谷,井原クリーンセンター,火,月2,月2 月4,土2
上高末,井原クリーンセンター,火,月2,月2 月4,土2
烏頭,井原クリーンセンター,火,月2,月2 月4,土2
宇戸,井原クリーンセンター,火,月2,月2 月4,土2
三山（八幡・西町東町）,井原クリーンセンター,火 金,月2,月2 月4,土2
美星（美星自治会・塩こぼし自治会）,井原クリーンセンター,火 金,月2,月2 月4,土2
美星（美星団地）,井原クリーンセンター,火 金,月2,月2 月4,土2
美星（熊石田団地Ⅰ，Ⅱ，Ⅲ）,井原クリーンセンター,火 金,月2,月2 月4,土2
美星（布東団地）,井原クリーンセンター,火 金,月2,月2 月4,土2
東水砂,井原クリーンセンター,金,月2,月2 月4,土2
西水砂,井原クリーンセンター,金,月1,月1 月3,土2
星田,井原クリーンセンター,金,月1,月1 月3,土2
黒木,井原クリーンセンター,金,月1,月1 月3,土2
黒忠（八日市を除く）,井原クリーンセンター,金,月1,月1 月3,土2
黒忠（八日市）,井原クリーンセンター,火 金,月1,月1 月3,土2
明治,井原クリーンセンター,火,月1,月1 月3,土2
