type,name,notice,furigana
燃やすごみ,アイスノン,,あ
燃やさないごみ,アイロン,,あ
収集しません,アイロン台（プラ・金属製）,,あ
燃やすごみ,アイロン台（木製）（ 30cm以下の物）,,あ
資源ごみ,アイスクリーム容器（プラ・フィルム状のもの）,,あ
燃やすごみ,アイスクリーム容器（内側が銀色のもの）,,あ
資源ごみ,空き缶・空きびん,,あ
収集しません,畦シート,,あ
資源の日,油（食用油）,,あ
収集しません,油（鉱物油：灯油・オイル等）,,あ
燃やすごみ,油で汚れた紙・布,,あ
燃やさないごみ,油の容器（びん・缶）,,あ
燃やすごみ,油の容器（ボトル）軟質,,あ
燃やさないごみ,油の容器（ボトル）硬質,,あ
燃やすごみ,油紙（油コート紙も含む）,,あ
収集しません,編み機,,あ
資源ごみ,網袋（みかん袋等）,,あ
燃やすごみ,アルミ箔（ホイル）,,あ
燃やさないごみ,アルミ製容器他,,あ
燃やさないごみ,アルミガード,,あ
燃やすごみ,アルバム,,あ
燃やすごみ,育苗ポット,,い
収集しません,衣装ケース,,い
収集しません,椅子,,い
収集しません,一斗缶（20リットルペール缶含む）,,い
資源ごみ,一升びん,,い
収集しません,一輪車（ねこ車）,,い
資源の日,衣類,,い
収集しません,衣類乾燥機,,い
資源ごみ,飲料容器（びん・缶・プラ）,,い
資源ごみ,いちご容器,,い
燃やさないごみ,インクカートリッジ,,い
燃やすごみ,板,,い
燃やさないごみ,印鑑（プラ・金属製）,,い
燃やすごみ,印鑑（象牙・木製）,,い
燃やさないごみ,植木鉢（プラスチック製）,,う
燃やさないごみ,植木鉢（素焼・陶器製）,,う
燃やすごみ,浮き輪,,う
燃やすごみ,うちわ,,う
燃やさないごみ,腕時計,,う
収集しません,エアコン,,え
燃やすごみ,枝・剪定くず（ 30cm以下の物）,,え
燃やさないごみ,枝切り鋏（剪定鋏）,,え
燃やすごみ,絵具チューブ（プラスチック製）,,え
燃やさないごみ,絵具チューブ（金属製）,,え
燃やさないごみ,絵筆（プラスチック製）,,え
燃やすごみ,絵筆（木製）,,え
燃やさないごみ,MD・MDプレイヤー,,え
燃やさないごみ,LEDライト,,え
収集しません,LPGガスボンベ,,え
燃やさないごみ,鉛筆削り,,え
燃やさないごみ,塩化ビニールパイプ,,え
燃やさないごみ,園芸用支柱,,え
収集しません,エンジンオイル,,え
燃やさないごみ,延長コード,,え
燃やさないごみ,オイル缶（4リットル以下か、 30cm以下の物）,,お
収集しません,オイルヒーター,,お
収集しません,応援セット（壊せるもの）,,お
収集しません,応援セット（壊せないもの）,,お
収集しません,オーディオ,,お
収集しません,オーディオラック,,お
収集しません,オーブントースター,,お
燃やさないごみ,桶（プラ・金属製、 30cm以下の物）,,お
燃やすごみ,桶（木製、 30cm以下の物）,,お
燃やすごみ,お尻拭き,,お
資源ごみ,お尻拭きの包装フィルム（内が銀色でない物）,,お
燃やすごみ,お尻拭きの包装フィルム（内が銀色の物）,,お
燃やすごみ,お手拭き,,お
資源ごみ,お手拭きの包装フィルム（内が銀色でない物）,,お
燃やすごみ,お手拭きの包装フィルム（内が銀色の物）,,お
燃やさないごみ,お玉,,お
燃やすごみ,落ち葉,,お
